Wcap,Wgen,Wpeq,Wneq,Wage,Wspec_minor,Wspec_major,Wspec_mismatch,Wfair_low,Wfair_med,Wfair_high,Wmove,Wfcfs,total_cost,fairness_std,gini,jain,num_patients,total_rooms,status
2,0,0,0,0,1,0,0,0,0,0,0,0,4929,87.92857142857143,0.0,0.0,1400,105,feasible
2,0,0,0,0,1,0,0,1,0,0,0,0,4926,87.78571428571429,0.0,0.0,1400,105,feasible
2,0,0,0,0,1,0,0,2,0,0,0,0,4930,88.0,0.0,0.0,1400,105,feasible
2,0,0,0,0,2,0,0,0,0,0,0,0,4922,87.82142857142857,0.0,0.0,1400,105,feasible
2,0,0,0,0,2,0,0,1,0,0,0,0,4926,87.89285714285714,0.0,0.0,1400,105,feasible
2,0,0,0,0,2,0,0,2,0,0,0,0,4926,87.82142857142857,0.0,0.0,1400,105,feasible
2,0,0,0,0,3,0,0,0,0,0,0,0,4918,87.82142857142857,0.0,0.0,1400,105,feasible
2,0,0,0,0,3,0,0,1,0,0,0,0,4918,87.82142857142857,0.0,0.0,1400,105,feasible
2,0,0,0,0,3,0,0,2,0,0,0,0,4918,87.82142857142857,0.0,0.0,1400,105,feasible
3,0,0,0,0,1,0,0,0,0,0,0,0,7373,87.85714285714286,0.0,0.0,1400,105,feasible
3,0,0,0,0,1,0,0,1,0,0,0,0,7375,87.89285714285714,0.0,0.0,1400,105,feasible
3,0,0,0,0,1,0,0,2,0,0,0,0,7374,87.82142857142857,0.0,0.0,1400,105,feasible
3,0,0,0,0,2,0,0,0,0,0,0,0,7377,87.75,0.0,0.0,1400,105,feasible
3,0,0,0,0,2,0,0,1,0,0,0,0,7376,87.71428571428571,0.0,0.0,1400,105,feasible
3,0,0,0,0,2,0,0,2,0,0,0,0,7375,87.60714285714286,0.0,0.0,1400,105,feasible
3,0,0,0,0,3,0,0,0,0,0,0,0,7359,87.53571428571429,0.0,0.0,1400,105,feasible
3,0,0,0,0,3,0,0,1,0,0,0,0,7359,87.57142857142857,0.0,0.0,1400,105,feasible
3,0,0,0,0,3,0,0,2,0,0,0,0,7359,87.60714285714286,0.0,0.0,1400,105,feasible
5,0,0,0,0,1,0,0,0,0,0,0,0,12275,87.89285714285714,0.0,0.0,1400,105,feasible
5,0,0,0,0,1,0,0,1,0,0,0,0,12272,88.0,0.0,0.0,1400,105,feasible
5,0,0,0,0,1,0,0,2,0,0,0,0,12279,88.21428571428571,0.0,0.0,1400,105,feasible
5,0,0,0,0,2,0,0,0,0,0,0,0,12277,87.82142857142857,0.0,0.0,1400,105,feasible
5,0,0,0,0,2,0,0,1,0,0,0,0,12281,87.85714285714286,0.0,0.0,1400,105,feasible
5,0,0,0,0,2,0,0,2,0,0,0,0,12279,87.71428571428571,0.0,0.0,1400,105,feasible
5,0,0,0,0,3,0,0,0,0,0,0,0,12258,87.57142857142857,0.0,0.0,1400,105,feasible
5,0,0,0,0,3,0,0,1,0,0,0,0,12258,87.57142857142857,0.0,0.0,1400,105,feasible
5,0,0,0,0,3,0,0,2,0,0,0,0,12258,87.57142857142857,0.0,0.0,1400,105,feasible
